Test Sponsor$System Name$Auto  Parallel$Processor # Enabled  Cores$Processor # Enabled  Chips$Processor # Cores/  Chip$Processor # Threads/  Core$Results # Base$Results # Peak$Publish_Date$CPU_Name$CPU_Frequency$Primary_Cache$Secondary_Cache$Tertiary_Cache$Memory
Dell Inc.$Dell Precision T7400 (Intel Xeon X5482, 3.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.2$22.2$Aug-2017$Intel Xeon Gold 6148$2400$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$27.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T3400 (Intel E6850, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$19.1$20.1$Aug-2017$Intel Xeon Gold 6150$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T3400 (Intel QX6850, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$19.6$20.6$Aug-2017$Intel Xeon Gold 6152$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$30.25 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T3400 (Intel QX9650, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$20.7$21.9$Aug-2017$Intel Xeon Gold 6154$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T3400 (Intel E8500, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$20.8$21.9$Aug-2017$Intel Xeon Platinum 8153$2000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$22 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision M6300 (Intel X9000, 2.80 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$17.5$18.5$Aug-2017$Intel Xeon Platinum 8156$3600$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$16.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision M6300 (Intel X9000, 2.80 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$17.8$18.7$Sep-2017$Intel Xeon Platinum 8158$3000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$24.75 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T7400 (Intel Xeon X5482, 3.20 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.1$22.1$Aug-2017$Intel Xeon Platinum 8160$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$33 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T7400 (Intel Xeon X5272, 3.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$20.7$22.9$Sep-2017$Intel Xeon Platinum 8160M$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$33 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision M6300 (Intel T9500, 2.60 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$17.4$18.4$Aug-2017$Intel Xeon Platinum 8164$2000$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T3400 (Intel QX9650, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$20.8$22.0$Jul-2017$Intel Xeon Platinum 8168$2700$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$33 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision T3400 (Intel E8500, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$2$1$2$1$21.1$22.1$Aug-2017$Intel Xeon Platinum 8170$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision R5400 (Intel Xeon E5450, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$17.9$19.6$Nov-2017$Intel Xeon Platinum 8170M$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$35.75 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$Dell Precision R5400 (Intel Xeon X5260, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$18.9$20.8$Aug-2017$Intel Xeon Platinum 8176$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$PowerEdge 2900 III (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.1$23.8$Sep-2017$Intel Xeon Platinum 8176M$2100$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$PowerEdge 2900 III (Intel Xeon E5450, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$19.5$23.1$Sep-2017$Intel Xeon Platinum 8180$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$PowerEdge M600 (Intel Xeon E5450, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$19.3$22.8$Jun-2017$Intel Xeon Platinum 8180$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$PowerEdge M600 (Intel Xeon E5420, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$17.4$20.5$Dec-2017$Intel Xeon Platinum 8180M$2500$32 KB I + 32 KB D on chip per core$1 MB I+D on chip per core$38.5 MB I+D on chip per chip$768 GB (48 x 16 GB 2Rx4 PC4-2666V-R)
Dell Inc.$PowerEdge M600 (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.1$23.9$Apr-2010$Intel Core i7-940XM$2133$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$8 GB (2 x 4 GB 2Rx8 PC3-10600S-9)
Dell Inc.$PowerEdge 2900 III (Intel Xeon X5260, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$20.6$24.1$Mar-2011$Intel Xeon X5680$4500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$24 GB (6 x 4 GB 2Rx4 PC3-12800U-9, running at 1440 MHz and CL8)
Dell Inc.$PowerEdge M600 (Intel Xeon E5205, 1.86 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$13.4$15.5$May-2011$Intel Core i7-2600K$4800$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$16 GB (4 x 4 GB 2Rx4 PC3-16000U-9, running at 1866 MHz and CL9)
Dell Inc.$PowerEdge M600 (Intel Xeon E5405, 2.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$15.2$17.9$Jan-2013$Intel Xeon E5-2687W$3100$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$20 MB I+D on chip per chip$64 GB (8 x 8 GB 2Rx4 PC3-12800R-9, ECC)
Dell Inc.$PowerEdge M600 (Intel Xeon E5410, 2.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$16.7$19.7$Apr-2006$Intel Pentium Extreme Edition 965$3733$12 K micro-ops I + 16 KB D on chip per core$2 MB I+D on chip per core$None$4 GB (4x1 GB 667MHz ECC CL5 DDR2 SDRAM)
Dell Inc.$PowerEdge M600 (Intel Xeon E5420, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$17.4$20.5$Apr-2006$Intel Pentium 4 670$3800$12 K micro-ops I + 16 KB D on chip per chip$2 MB I+D on chip per chip$None$2 GB (4x512 MB 533MHz CL4 DDR2 SDRAM)
Dell Inc.$PowerEdge M600 (Intel Xeon E5430, 2.66 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$18.1$21.5$Aug-2007$Intel Core 2 Extreme QX6800$2933$32 KB I + 32 KB D on chip per core$8 MB I+D on chip per chip, 4 MB shared / 2 cores$None$8 GB (4x2 GB 667 MHz ECC CL5 DDR2)
Dell Inc.$PowerEdge M600 (Intel Xeon L5240, 3.00GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$19.4$22.7$Aug-2007$Intel Core 2 Extreme X6800$2933$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$4 GB (4x1 GB 667 MHz ECC CL5 DDR2)
Dell Inc.$PowerEdge M600 (Intel Xeon X5260, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$20.6$24.1$Dec-2006$Intel Core 2 Extreme X6800$2933$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$4 GB (4x1GB 667 MHz ECC CL5 DDR2 SDRAM)
Dell Inc.$PowerEdge M805 (AMD Opteron 2356, 2.3 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$8$2$4$1$13.0$14.9$Aug-2007$Intel Xeon 5160$3000$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$8 GB (8x1 GB 667 MHz ECC CL5 FB-DIMM)
Dell Inc.$PowerEdge M805 (AMD Opteron 2354, 2.2 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$8$2$4$1$12.4$14.2$Jan-2007$Intel Xeon 5160$3000$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$8 GB (8x1 GB 667 MHz ECC CL5 DDR2 FB-DIMM)
Dell Inc.$PowerEdge M905 (AMD Opteron 8347 HE, 1.9 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$16$4$4$1$10.7$12.6$Jul-2007$Intel Xeon X5365$3000$32 KB I + 32 KB D on chip per core$8 MB I+D on chip per chip, 4 MB shared / 2 cores$None$16 GB (8x2 GB 667 MHz ECC CL5 FB-DIMM)
Dell Inc.$PowerEdge M905 (AMD Opteron 8354, 2.2 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$16$4$4$1$11.7$13.9$Nov-2013$Intel Core i7-4702HQ$2200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$6 MB I+D on chip per chip$16 GB (2 x 8 GB 1Rx8 PC3L-12800U-11)
Dell Inc.$PowerEdge M805 (AMD Opteron 2360 SE, 2.5 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$8$2$4$1$13.7$15.7$Apr-2008$Intel Core 2 Duo T9500$2600$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$4 GB (2x2 GB 667 MHz CL5 DDR2)
Dell Inc.$PowerEdge M905 (AMD Opteron 8356, 2.3 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$16$4$4$1$12.4$14.2$Aug-2007$Intel Core 2 Extreme X7900$2800$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$4 GB (2x2 GB 667 MHz CL5 DDR2)
Dell Inc.$PowerEdge M805 (AMD Opteron 2350, 2.0 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$8$2$4$1$11.8$13.4$Apr-2008$Intel Core 2 Extreme X9000$2800$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$4 GB (2x2 GB 667 MHz CL5 DDR2)
Dell Inc.$PowerEdge 2900 III (Intel Xeon E5205, 1.86 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$16.0$16.7$Dec-2007$Intel Core 2 Extreme X9000$2800$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$4 GB (2x2 GB 667 MHz CL5 DDR2)
Dell Inc.$PowerEdge M600 (Intel Xeon E5440, 2.83 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$22.7$23.7$Sep-2008$Intel Core 2 Extreme QX9300$2530$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$8 GB (4x2 GB 1067 MHz CL7 DDR3)
Dell Inc.$PowerEdge M600 (Intel Xeon X5470, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.9$26.0$Dec-2006$Intel Core 2 Duo T7600$2333$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$2 GB (2x1 GB 667 MHz CL5 DDR2 SDRAM)
Dell Inc.$PowerEdge M600 (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.4$25.6$Sep-2008$Intel Xeon X5270$3500$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$16 GB (4x4 GB 667 MHz CL5 FB-DIMM)
Dell Inc.$PowerEdge M600 (Intel Xeon E5450, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$23.7$24.7$Dec-2008$Intel Xeon E5450$3000$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (4x4 GB DDR2-667 FB-DIMM, CL5)
Dell Inc.$PowerEdge R900 (Intel Xeon E7450, 2.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$4$6$1$20.2$21.3$Jun-2008$Intel Xeon E5450$3000$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (4x4 GB 667 MHz CL5 FB-DIMM)
Dell Inc.$PowerEdge R900 (Intel Xeon X7460, 2.66 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$4$6$1$22.0$23.2$Jun-2008$Intel Xeon X5260$3333$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$16 GB (4x4 GB 667 MHz CL5 FB-DIMM)
Dell Inc.$PowerEdge 2900 III (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.4$25.5$Dec-2008$Intel Xeon X5270$3500$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$16 GB (4x4 GB DDR2-667 FB-DIMM, CL5)
Dell Inc.$Dell Precision T7400 (Intel Xeon X5492, 3.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.9$23.1$Dec-2007$Intel Core 2 Duo E6850$3000$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$4 GB (4x1 GB 800 MHz ECC CL6 DDR2)
Dell Inc.$Dell Precision R5400 (Intel X5270, 3.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$19.3$21.2$Apr-2008$Intel Core 2 Duo E8500$3166$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$8 GB (4x2 GB 800 MHz ECC CL6 DDR2)
Dell Inc.$PowerEdge 1950 III (Intel Xeon X5470, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$25.0$26.2$Dec-2007$Intel Core 2 Duo E8500$3166$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$4 GB (4x1 GB 800 MHz ECC CL6 DDR2)
Dell Inc.$PowerEdge 1950 III (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.4$25.5$Nov-2008$Intel Core 2 Duo E8600$3333$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$8 GB (4x2 GB DDR2-800, ECC, CL6)
Dell Inc.$PowerEdge 2950 III (Intel Xeon X5260, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$24.5$25.6$Dec-2007$Intel Core 2 Extreme QX6850$3000$32 KB I + 32 KB D on chip per core$8 MB I+D on chip per chip, 4 MB shared / 2 cores$None$8 GB (4x2 GB 800 MHz ECC CL6 DDR2)
Dell Inc.$PowerEdge 2950 III (Intel Xeon X5470, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$25.0$26.1$Nov-2008$Intel Core 2 Extreme QX9650$3000$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$8 GB (4x2 GB DDR2-800 ECC, CL6)
Dell Inc.$PowerEdge M600 (Intel Xeon E5410, 2.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$20.3$21.1$Apr-2008$Intel Core 2 Extreme QX9650$3000$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$8 GB (4x2 GB 800 MHz ECC CL6 DDR2)
Dell Inc.$PowerEdge M600 (Intel Xeon L5240, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$23.1$24.2$Dec-2007$Intel Core 2 Extreme QX9650$3000$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$8 GB (4x2 GB 800 MHz ECC CL6 DDR2)
Dell Inc.$PowerEdge M600 (Intel Xeon E5420, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$21.2$22.1$Mar-2009$Intel Xeon W3570$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$12 GB (3x4 GB, DDR3_1333R, ECC, CL9)
Dell Inc.$PowerEdge M600 (Intel Xeon X5270, 3.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$25.4$26.6$Jul-2009$Intel Xeon W3580$3333$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$24 GB (6x4 GB PC3-10600E)
Dell Inc.$PowerEdge M600 (Intel Xeon E5430, 2.66 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$22.1$23.0$Mar-2009$Intel Xeon X5570$2933$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$12 GB (3x4 GB, DDR3_1333R, ECC, CL9)
Dell Inc.$PowerEdge R900 (Intel Xeon E7430, 2.13 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$4$4$1$18.9$19.9$Nov-2013$Intel Xeon E5-1650 v2$3500$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$32 GB (8 x 4 GB 1Rx8 PC3-14900R-13, ECC)
Dell Inc.$PowerEdge R900 (Intel Xeon E7440, 2.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$4$4$1$20.7$21.8$Dec-2008$Intel Xeon X5272$3400$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$16 GB (8x2 GB DDR2-800 FB-DIMM, CL5)
Dell Inc.$PowerEdge R900 (Intel Xeon E7450, 2.40 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$4$6$1$20.2$21.3$Apr-2008$Intel Xeon X5272$3400$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$16 GB (8x2 GB 800 MHz CL5 FB-DIMM)
Dell Inc.$PowerEdge 1950 III (Intel Xeon E5450, 3.00 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$23.7$24.7$Dec-2007$Intel Xeon X5272$3400$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$8 GB (8x1 GB 800 MHz FB-DIMM CL5)
Dell Inc.$PowerEdge 1950 III (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.4$25.5$Apr-2008$Intel Xeon X5482$3200$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8x2 GB 800 MHz CL5 FB-DIMM)
Dell Inc.$PowerEdge 1950 III (Intel Xeon E5440, 2.83 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$22.9$23.8$Dec-2007$Intel Xeon X5482$3200$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8x2 GB 800 MHz FB-DIMM CL5)
Dell Inc.$PowerEdge 2900 III (Intel Xeon E5420, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$21.2$22.1$Nov-2008$Intel Xeon X5492$3400$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8x2 GB DDR2-800 FB-DIMM, CL5)
Dell Inc.$PowerEdge 2900 III (Intel Xeon X5260, 3.33 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$24.7$25.8$Sep-2008$Intel Xeon X5492$3400$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8x2 GB 800 MHz CL5 FB-DIMM)
Dell Inc.$PowerEdge 2900 III (Intel Xeon X5270, 3.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$25.4$26.5$Mar-2009$Intel Xeon W5580$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$24 GB (6 x 4 GB DDR3-1333R, CL9)
Dell Inc.$PowerEdge 2950 III (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.3$25.3$Mar-2009$Intel Xeon W5580$3200$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$24 GB (6x4 GB DDR3-1333R, ECC, CL9)
Dell Inc.$PowerEdge 2950 III (Intel Xeon E5430, 2.66 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$22.1$23.0$Jul-2009$Intel Xeon W5590$3333$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$48 GB (12 x 4 GB PC3-10600R)
Dell Inc.$PowerEdge 2950 III (Intel Xeon E5420, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$21.2$22.1$Aug-2009$Intel Xeon W5590$3333$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$48 GB (12x4 GB PC3-10600R)
Dell Inc.$PowerEdge M600 (Intel Xeon E5205, 1.86GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$2$2$1$16.1$16.8$Mar-2009$Intel Xeon X5570$2933$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$8 MB I+D on chip per chip$24 GB (6x4 GB DDR3-1333R, ECC, CL9)
Dell Inc.$PowerEdge M805 (AMD Opteron 2344 HE, 1.7 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$8$2$4$1$10.7$11.8$Feb-2010$Intel Xeon X5677$3466$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$48 GB (12x4 GB PC3-10600R)
Dell Inc.$PowerEdge M905 (AMD Opteron 8360 SE, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$No$16$4$4$1$14.1$15.9$Mar-2010$Intel Xeon X5680$3333$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$12 MB I+D on chip per chip$48 GB (12x4 GB PC3-10600R)
Dell Inc.$PowerEdge R900 (Intel Xeon L7455, 2.13 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$24$4$6$1$18.8$19.8$Oct-2014$Intel Xeon E5-2699 v3$2300$32 KB I + 32 KB D on chip per core$256 KB I+D on chip per core$45 MB I+D on chip per chip$240 GB (15 x 16 GB 2Rx4 PC4-2133P-R)
Dell Inc.$PowerEdge R900 (Intel Xeon E7420, 2.13 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$16$4$4$1$18.5$19.4$Jun-2007$Intel Core Duo T2600$2167$32 KB I + 32 KB D on chip per core$2 MB I+D on chip per chip$None$2 GB (2x1GB Hynix DDR2-667 CL5)
Dell Inc.$Dell Precision M6400 (Intel QX9300, 2.53 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$4$1$4$1$19.8$21.0$Sep-2006$Intel Xeon 5160$3000$32 KB I + 32 KB D on chip per core$4 MB I+D on chip per chip$None$4 GB (4x 1GB, Samsung M395T2953CZ4 DDR2 FBD 667 CL5-5-5)
Dell Inc.$PowerEdge 1950 III (Intel Xeon E5430, 2.66 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$22.1$23.0$Nov-2008$Intel Xeon E5205$1866$32 KB I + 32 KB D on chip per core$6 MB I+D on chip per chip$None$16 GB (8 x 2 GB 667 MHz ECC CL5 FB-DIMM)
Dell Inc.$PowerEdge 1950 III (Intel Xeon X5460, 3.16 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$24.5$25.6$Oct-2008$Intel Xeon E5405$2000$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8 x 2 GB DDR2-667 FB-DIMM)
Dell Inc.$PowerEdge 1950 III (Intel Xeon E5420, 2.50 GHz)  HTML  |  CSV  |  Text  |  PDF  |  PS  |  Config$Yes$8$2$4$1$21.2$22.1$Oct-2008$Intel Xeon E5410$2333$32 KB I + 32 KB D on chip per core$12 MB I+D on chip per chip, 6 MB shared / 2 cores$None$16 GB (8 x 2 GB 667 MHz ECC CL5 FB-DIMM)
